Occupation title (click on the occupation title to view its profile),Location quotient,Annual mean wage
"Office Machine Operators, Except Computer",1.7,36430
Proofreaders and Copy Markers,2.3,52600
Statistical Assistants,0.48,56910
"Office and Administrative Support Workers, All Other",1.47,29590
"Farming, Fishing, and Forestry Occupations",0.13,36780
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.16,55060
Agricultural Inspectors,0.23,64320
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",0.15,34170
"Farmworkers, Farm, Ranch, and Aquacultural Animals",0.14,31090
Forest and Conservation Workers,0.24,35050
Construction and Extraction Occupations,0.82,69860
First-Line Supervisors of Construction Trades and Extraction Workers,0.56,94170
Boilermakers,0.58,88500
Brickmasons and Blockmasons,0.92,79640
Stonemasons,1.12,60920
Carpenters,1.0,71040
Carpet Installers,0.69,49380
"Floor Layers, Except Carpet, Wood, and Hard Tiles",0.45,71160
Floor Sanders and Finishers,0.7,40470
Tile and Stone Setters,1.35,65080
Cement Masons and Concrete Finishers,0.53,68970
Construction Laborers,0.99,57800
"Paving, Surfacing, and Tamping Equipment Operators",0.72,64200
Operating Engineers and Other Construction Equipment Operators,0.42,92640
Drywall and Ceiling Tile Installers,0.92,54780
Tapers,0.54,78540
Electricians,0.98,82640
Glaziers,0.9,68820
"Insulation Workers, Floor, Ceiling, and Wall",0.22,47620
"Insulation Workers, Mechanical",0.21,105820
"Painters, Construction and Maintenance",0.98,54870
Paperhangers,2.35,59450
Pipelayers,0.23,60240
"Plumbers, Pipefitters, and Steamfitters",0.97,75410
Reinforcing Iron and Rebar Workers,1.11,77650
Roofers,0.45,74180
Sheet Metal Workers,0.76,73780
Structural Iron and Steel Workers,0.97,90150
Solar Photovoltaic Installers,1.42,52290
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",1.14,49120
Helpers--Carpenters,0.84,35620
Helpers--Electricians,1.1,40260
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",0.86,39200
"Helpers, Construction Trades, All Other",0.76,37580
Construction and Building Inspectors,1.12,71470
Elevator and Escalator Installers and Repairers,2.66,83980
Fence Erectors,0.62,42740
Hazardous Materials Removal Workers,1.43,63030
Highway Maintenance Workers,0.64,51440
Rail-Track Laying and Maintenance Equipment Operators,2.39,72680
Septic Tank Servicers and Sewer Pipe Cleaners,0.85,50840
Miscellaneous Construction and Related Workers,0.5,49840
"Excavating and Loading Machine and Dragline Operators, Surface Mining",0.63,75940
"Earth Drillers, Except Oil and Gas; and Explosives Workers, Ordnance Handling Experts, and Blasters",0.32,65570
"Underground Mining Machine Operators and Extraction Workers, All Other",0.13,47950
"Installation, Maintenance, and Repair Occupations",0.8,57240
"First-Line Supervisors of Mechanics, Installers, and Repairers",0.8,83290
"Computer, Automated Teller, and Office Machine Repairers",1.02,48480
"Radio, Cellular, and Tower Equipment Installers and Repairers",1.09,62000
"Telecommunications Equipment Installers and Repairers, Except Line Installers",0.68,72050
Avionics Technicians,0.33,69630
"Electric Motor, Power Tool, and Related Repairers",0.57,48230
"Electrical and Electronics Installers and Repairers, Transportation Equipment",1.06,66410
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0.48,60220
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",1.55,86010
"Electronic Equipment Installers and Repairers, Motor Vehicles",1.62,36860
Audiovisual Equipment Installers and Repairers,0.99,46500
Security and Fire Alarm Systems Installers,1.08,57540
Aircraft Mechanics and Service Technicians,0.52,75070
Automotive Body and Related Repairers,0.78,49520
Automotive Glass Installers and Repairers,0.59,33350
Automotive Service Technicians and Mechanics,0.71,49130
Bus and Truck Mechanics and Diesel Engine Specialists,0.75,60560
Farm Equipment Mechanics and Service Technicians,0.04,52860
"Mobile Heavy Equipment Mechanics, Except Engines",0.35,70400
Rail Car Repairers,0.64,76750
Motorboat Mechanics and Service Technicians,0.44,43460
Motorcycle Mechanics,0.36,42450
Outdoor Power Equipment and Other Small Engine Mechanics,0.43,47550
Bicycle Repairers,0.78,32660
Recreational Vehicle Service Technicians,0.16,53360
Tire Repairers and Changers,0.54,30720
Mechanical Door Repairers,0.62,48170
"Control and Valve Installers and Repairers, Except Mechanical Door",0.98,77180
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0.84,63210
Home Appliance Repairers,1.0,46140
Industrial Machinery Mechanics,0.44,62760
"Maintenance Workers, Machinery",0.4,57450
Millwrights,0.26,78750
Electrical Power-Line Installers and Repairers,0.44,88010
Telecommunications Line Installers and Repairers,1.45,79200
Camera and Photographic Equipment Repairers,1.74,45510
Medical Equipment Repairers,0.71,67620
Musical Instrument Repairers and Tuners,1.04,43140
Watch and Clock Repairers,2.51,50810
"Precision Instrument and Equipment Repairers, All Other",0.94,62290
"Maintenance and Repair Workers, General",1.09,48260
"Coin, Vending, and Amusement Machine Servicers and Repairers",0.79,50650
Commercial Divers,0.58,84780
Locksmiths and Safe Repairers,0.8,52860
Riggers,0.41,79340
Signal and Track Switch Repairers,1.89,74670
"Helpers--Installation, Maintenance, and Repair Workers",0.8,38210
"Installation, Maintenance, and Repair Workers, All Other",0.72,43230
Production Occupations,0.48,42120
First-Line Supervisors of Production and Operating Workers,0.5,71700
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",0.03,49870
"Coil Winders, Tapers, and Finishers",0.29,36000
"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",0.46,37860
Engine and Other Machine Assemblers,0.09,43360
Structural Metal Fabricators and Fitters,0.39,49550
